feature,importance_mean,importance_sd
publication_year,0.13056475769613632,0.004910385331146834
type,0.0820340841368161,0.005198561404589886
venue_top,0.057001344619535356,0.0026526454786669567
authors_count,0.03489447087450296,0.003191470476880881
title_length,0.023529215028527208,0.0036785443100852107
oa_status,0.022884138164517853,0.003426533977217146
countries_distinct_count,0.019400012132483026,0.002465733951352884
topic_top,0.017974388525099562,0.0020033044556757615
has_doi,0.006084007317494933,0.0014852099230990552
is_oa,0.005750869214259646,0.001517978111182024
title_has_ai,0.005078607792056022,0.0008194632354534868
title_has_deep_learning,0.004999550723913215,0.0017041497572772792
institutions_distinct_count,0.0036073420829027536,0.0007561051915673329
title_has_neural,0.002279196447035348,0.0008959383349701912
title_has_model,0.0013380814780335815,0.00043841973854781183
log_authors,0.00022092409996602447,0.00016300763900375126
log_countries,0.00019990889929537569,0.0004873114001787478
log_institutions,6.37875915568742e-05,9.405973789335661e-05
international,-9.36234873378794e-06,5.8014303559478976e-05
